user_id,phone,customer_name,parcel_id,user_role,booking_time,parcel_type,pickup_area,pickup_lat,pickup_lon,delivery_area,delivery_lat,delivery_lon,delivery_charge_bdt,parcel_status,source_updated_at,synthetic
USR001,01000000001,Demo User 001,PC0000003,sender,2026-02-18T21:24:13+06:00,medium_parcel,Uttara,23.878634,90.377679,Mirpur,23.819989,90.368154,134,delivered,2026-02-22T23:24:13+06:00,True
USR001,01000000001,Demo User 001,PC0000005,receiver,2026-04-09T02:51:38+06:00,large_parcel,Bashundhara,23.814521,90.430579,Mohammadpur,23.770347,90.353905,182,delivered,2026-04-09T04:51:38+06:00,True
USR001,01000000001,Demo User 001,PC0000006,receiver,2026-05-09T03:23:22+06:00,large_parcel,Rampura,23.766479,90.418322,Badda,23.775454,90.42193,163,delivered,2026-05-09T09:23:22+06:00,True
USR001,01000000001,Demo User 001,PC0000007,receiver,2026-05-27T00:00:01+06:00,medium_parcel,Bashundhara,23.821598,90.43095,Badda,23.78677,90.421758,283,delivered,2026-05-30T07:00:01+06:00,True
USR001,01000000001,Demo User 001,PC0000001,sender,2026-06-13T05:05:46+06:00,small_parcel,Gulshan,23.78841,90.400766,Farmgate,23.752022,90.383962,134,delivered,2026-06-14T17:05:46+06:00,True
USR001,01000000001,Demo User 001,PC0000002,receiver,2026-06-17T09:43:12+06:00,medium_parcel,Mohakhali,23.781839,90.402931,Tejgaon,23.769864,90.38915,172,cancelled,2026-06-20T19:43:12+06:00,True
USR001,01000000001,Demo User 001,PC0000004,sender,2026-08-03T14:12:12+06:00,medium_parcel,Uttara,23.877289,90.372385,Mirpur,23.826892,90.364153,94,delivered,2026-08-05T03:12:12+06:00,True
USR002,01000000002,Demo User 002,PC0000014,receiver,2026-02-21T06:28:55+06:00,large_parcel,Shyamoli,23.769998,90.370129,Old Dhaka,23.704883,90.412828,348,returned,2026-02-22T00:28:55+06:00,True
USR002,01000000002,Demo User 002,PC0000016,sender,2026-03-12T08:59:49+06:00,document,Old Dhaka,23.702588,90.408998,Tejgaon,23.759679,90.392122,73,in_transit,2026-03-13T06:59:49+06:00,True
USR002,01000000002,Demo User 002,PC0000010,receiver,2026-03-15T05:51:14+06:00,document,Mohakhali,23.783358,90.400133,Tejgaon,23.768,90.400025,298,delivered,2026-03-17T10:51:14+06:00,True
USR002,01000000002,Demo User 002,PC0000012,sender,2026-03-19T22:27:31+06:00,small_parcel,Pallabi,23.83439,90.37017,Wari,23.719182,90.414669,86,delivered,2026-03-20T21:27:31+06:00,True
USR002,01000000002,Demo User 002,PC0000018,receiver,2026-03-21T03:07:05+06:00,medium_parcel,Badda,23.773803,90.434376,Uttara,23.877907,90.384668,243,delivered,2026-03-24T22:07:05+06:00,True
USR002,01000000002,Demo User 002,PC0000009,sender,2026-03-26T18:02:09+06:00,document,Rampura,23.767263,90.417465,Badda,23.781724,90.423083,310,delivered,2026-03-28T03:02:09+06:00,True
USR002,01000000002,Demo User 002,PC0000011,receiver,2026-04-21T08:44:59+06:00,large_parcel,Bashundhara,23.809546,90.42884,Gulshan,23.793115,90.404021,199,in_transit,2026-04-25T17:44:59+06:00,True
USR002,01000000002,Demo User 002,PC0000015,receiver,2026-05-07T23:09:21+06:00,small_parcel,Badda,23.78554,90.426335,Old Dhaka,23.717178,90.405978,172,delivered,2026-05-10T04:09:21+06:00,True
USR002,01000000002,Demo User 002,PC0000019,receiver,2026-05-16T23:37:42+06:00,large_parcel,Mohammadpur,23.772342,90.360103,Khilgaon,23.749237,90.427575,155,delivered,2026-05-19T12:37:42+06:00,True
USR002,01000000002,Demo User 002,PC0000020,receiver,2026-05-23T20:43:28+06:00,medium_parcel,Motijheel,23.737135,90.420433,Uttara,23.87147,90.381159,281,delivered,2026-05-25T23:43:28+06:00,True
USR002,01000000002,Demo User 002,PC0000013,sender,2026-06-03T18:01:49+06:00,small_parcel,Pallabi,23.826579,90.365432,Uttara,23.875743,90.374422,317,delivered,2026-06-07T16:01:49+06:00,True
USR002,01000000002,Demo User 002,PC0000017,sender,2026-06-15T20:28:22+06:00,large_parcel,Bashundhara,23.818378,90.423424,Pallabi,23.828822,90.358263,213,delivered,2026-06-15T22:28:22+06:00,True
USR002,01000000002,Demo User 002,PC0000021,receiver,2026-06-24T01:15:39+06:00,large_parcel,Dhanmondi,23.743464,90.380895,Mohakhali,23.782711,90.394546,117,delivered,2026-06-27T13:15:39+06:00,True
