index,user_id,phone,customer_name,order_id,order_time,restaurant_name,restaurant_category,delivery_area,delivery_lat,delivery_lon,order_amount_bdt,payment_method,order_status,source_updated_at,synthetic,provider_name,rider_id,rider_name,rider_phone,rider_role,rider_vehicle_type,rider_vehicle_number,rider_joined_at,rider_rating,rider_status,rider_primary_area,rider_dataset_activity_count,rider_dataset_completed_count,rider_total_completed_activities,rider_first_activity_at,rider_last_activity_at
0,USR001,+8801584323851,Sanjida Khan,FDI0000001,2026-04-21T13:46:01+06:00,Foodi Demo Kitchen 02,Fast Food,Uttara,23.8765,90.38436,405,cash,refunded,2026-04-21T16:47:01+06:00,True,Foodi,FDI-RDR-017,Tuhin Kabir,8801437966170,delivery_rider,Bike,Dhaka-Metro-LA-31-7414,2026-03-12,4.47,active,Uttara,56,36,899,2026-02-12T19:30:05+06:00,2026-08-02T10:56:53+06:00
1,USR001,+8801584323851,Sanjida Khan,FDI0000002,2026-07-21T03:58:36+06:00,Foodi Demo Kitchen 06,Burgers,Mirpur,23.824232,90.361592,567,card,delivered,2026-07-21T06:41:36+06:00,True,Foodi,FDI-RDR-008,Al Amin Mahmud,8801773840158,delivery_rider,Bike,Dhaka-Metro-LA-16-1506,2024-12-21,4.88,active,Mirpur,55,38,553,2026-02-10T07:25:37+06:00,2026-08-10T06:22:54+06:00
2,USR001,+8801584323851,Sanjida Khan,FDI0000003,2026-03-04T12:58:17+06:00,Foodi Demo Kitchen 06,Burgers,Bashundhara,23.819233,90.417217,768,cash,delivered,2026-03-04T15:29:17+06:00,True,Foodi,FDI-RDR-003,Rasel Rahman,8801991735857,delivery_rider,Bike,Dhaka-Metro-LA-25-1024,2025-03-30,4.27,active,Bashundhara,27,16,1021,2026-02-24T21:14:45+06:00,2026-08-07T13:05:52+06:00
3,USR001,+8801584323851,Sanjida Khan,FDI0000004,2026-02-13T16:48:02+06:00,Foodi Demo Kitchen 03,Biryani,Banani,23.800992,90.40897,1547,cash,delivered,2026-02-13T17:58:02+06:00,True,Foodi,FDI-RDR-002,Rony Sarker,8801683501448,delivery_rider,Bike,Dhaka-Metro-LA-47-5838,2023-05-27,4.52,active,Banani,29,19,739,2026-02-13T16:48:02+06:00,2026-07-30T12:32:32+06:00
4,USR001,+8801584323851,Sanjida Khan,FDI0000005,2026-04-30T16:59:15+06:00,Foodi Demo Kitchen 08,Kebab,Old Dhaka,23.709643,90.400338,1141,card,delivered,2026-04-30T19:50:15+06:00,True,Foodi,FDI-RDR-012,Parvez Mollah,8801798672324,delivery_rider,Bike,Dhaka-Metro-LA-18-1627,2023-01-21,4.38,active,Old Dhaka,70,47,563,2026-02-10T12:20:28+06:00,2026-08-08T06:41:21+06:00
5,USR001,+8801584323851,Sanjida Khan,FDI0000006,2026-02-22T17:06:51+06:00,Foodi Demo Kitchen 02,Fast Food,Mohakhali,23.783343,90.404378,1467,card,delivered,2026-02-22T17:38:51+06:00,True,Foodi,FDI-RDR-009,Mahmud Ali,8801453596488,delivery_rider,Bike,Dhaka-Metro-LA-50-1637,2024-06-25,4.64,active,Mohakhali,67,33,309,2026-02-10T09:51:53+06:00,2026-08-10T22:36:11+06:00
6,USR001,+8801584323851,Sanjida Khan,FDI0000007,2026-07-22T04:11:50+06:00,Foodi Demo Kitchen 04,Cafe,Pallabi,23.824469,90.367327,1625,mobile_wallet,delivered,2026-07-22T05:02:50+06:00,True,Foodi,FDI-RDR-013,Sabbir Hossain,8801364196925,delivery_rider,Bike,Dhaka-Metro-LA-17-2602,2024-08-29,4.32,active,Pallabi,52,36,1655,2026-02-13T02:02:06+06:00,2026-08-06T19:24:26+06:00
7,USR001,+8801584323851,Sanjida Khan,FDI0000008,2026-02-23T01:44:37+06:00,Foodi Demo Kitchen 07,Thai,Mirpur,23.829091,90.362201,1227,card,delivered,2026-02-23T04:26:37+06:00,True,Foodi,FDI-RDR-008,Al Amin Mahmud,8801773840158,delivery_rider,Bike,Dhaka-Metro-LA-16-1506,2024-12-21,4.88,active,Mirpur,55,38,553,2026-02-10T07:25:37+06:00,2026-08-10T06:22:54+06:00
8,USR001,+8801584323851,Sanjida Khan,FDI0000009,2026-05-13T06:07:37+06:00,Foodi Demo Kitchen 07,Thai,Old Dhaka,23.718655,90.414304,946,mobile_wallet,refunded,2026-05-13T06:47:37+06:00,True,Foodi,FDI-RDR-012,Parvez Mollah,8801798672324,delivery_rider,Bike,Dhaka-Metro-LA-18-1627,2023-01-21,4.38,active,Old Dhaka,70,47,563,2026-02-10T12:20:28+06:00,2026-08-08T06:41:21+06:00
9,USR001,+8801584323851,Sanjida Khan,FDI0000010,2026-06-12T00:22:55+06:00,Foodi Demo Kitchen 05,Pizza,Wari,23.724551,90.409223,474,mobile_wallet,delivered,2026-06-12T03:12:55+06:00,True,Foodi,FDI-RDR-018,Mehedi Karim,8801825989091,delivery_rider,Bicycle,BIC-77242,2025-01-08,4.35,active,Wari,63,40,1814,2026-02-12T18:32:46+06:00,2026-08-04T04:32:17+06:00
