user_id,phone,customer_name,order_id,order_time,seller_name,product_category,item_count,delivery_area,delivery_lat,delivery_lon,order_amount_bdt,payment_method,order_status,source_updated_at,synthetic
USR001,01000000001,Demo User 001,DZ0000004,2026-03-07T22:05:37+06:00,Demo Seller 06,Beauty,4,Badda,23.780749,90.433963,18193,mobile_wallet,delivered,2026-03-09T21:05:37+06:00,True
USR001,01000000001,Demo User 001,DZ0000005,2026-04-09T04:32:56+06:00,Demo Seller 07,Books,3,Bashundhara,23.812925,90.417902,19870,cash,delivered,2026-04-16T02:32:56+06:00,True
USR001,01000000001,Demo User 001,DZ0000002,2026-04-17T07:41:35+06:00,Demo Seller 10,Accessories,1,Farmgate,23.760008,90.394451,16019,mobile_wallet,returned,2026-04-25T05:41:35+06:00,True
USR001,01000000001,Demo User 001,DZ0000003,2026-05-02T21:05:56+06:00,Demo Seller 02,Accessories,2,Motijheel,23.726707,90.424688,7633,cash,delivered,2026-05-04T21:05:56+06:00,True
USR001,01000000001,Demo User 001,DZ0000001,2026-07-09T14:35:37+06:00,Demo Seller 06,Books,1,Banani,23.786521,90.404209,12571,card,cancelled,2026-07-11T15:35:37+06:00,True
USR002,01000000002,Demo User 002,DZ0000012,2026-02-25T15:59:54+06:00,Demo Seller 14,Groceries,4,Rampura,23.764191,90.424905,14092,card,processing,2026-03-07T08:59:54+06:00,True
USR002,01000000002,Demo User 002,DZ0000011,2026-03-24T08:33:17+06:00,Demo Seller 08,Home & Living,4,Dhanmondi,23.75071,90.376955,8087,card,delivered,2026-03-28T19:33:17+06:00,True
USR002,01000000002,Demo User 002,DZ0000010,2026-03-26T21:51:02+06:00,Demo Seller 09,Books,1,Mohammadpur,23.772055,90.365131,23541,cash,delivered,2026-03-31T00:51:02+06:00,True
USR002,01000000002,Demo User 002,DZ0000007,2026-03-30T01:52:18+06:00,Demo Seller 03,Electronics,1,Rampura,23.758323,90.413268,10138,cash,delivered,2026-04-05T04:52:18+06:00,True
USR002,01000000002,Demo User 002,DZ0000015,2026-04-09T08:05:10+06:00,Demo Seller 04,Beauty,3,Mirpur,23.821909,90.362227,23112,card,delivered,2026-04-10T06:05:10+06:00,True
USR002,01000000002,Demo User 002,DZ0000008,2026-04-15T11:29:33+06:00,Demo Seller 15,Books,4,Tejgaon,23.767658,90.395754,16050,card,cancelled,2026-04-21T09:29:33+06:00,True
USR002,01000000002,Demo User 002,DZ0000006,2026-04-15T22:45:18+06:00,Demo Seller 06,Books,3,Mirpur,23.815663,90.361017,17763,cash,delivered,2026-04-23T02:45:18+06:00,True
USR002,01000000002,Demo User 002,DZ0000009,2026-05-08T01:30:54+06:00,Demo Seller 12,Sports,4,Farmgate,23.751767,90.391228,9046,mobile_wallet,processing,2026-05-09T11:30:54+06:00,True
USR002,01000000002,Demo User 002,DZ0000014,2026-07-08T19:27:19+06:00,Demo Seller 14,Beauty,1,Dhanmondi,23.742014,90.373393,8379,mobile_wallet,delivered,2026-07-13T10:27:19+06:00,True
USR002,01000000002,Demo User 002,DZ0000013,2026-07-30T15:19:43+06:00,Demo Seller 11,Sports,4,Dhanmondi,23.753744,90.378434,12840,cash,delivered,2026-08-03T16:19:43+06:00,True
USR003,01000000003,Demo User 003,DZ0000019,2026-03-09T10:17:09+06:00,Demo Seller 06,Home & Living,3,Farmgate,23.754495,90.396757,2964,card,delivered,2026-03-11T11:17:09+06:00,True
USR003,01000000003,Demo User 003,DZ0000026,2026-03-13T08:26:48+06:00,Demo Seller 07,Electronics,2,Banani,23.788322,90.404006,16741,mobile_wallet,delivered,2026-03-17T09:26:48+06:00,True
USR003,01000000003,Demo User 003,DZ0000023,2026-03-18T03:24:35+06:00,Demo Seller 01,Accessories,3,Farmgate,23.762436,90.389589,15143,mobile_wallet,delivered,2026-03-27T05:24:35+06:00,True
USR003,01000000003,Demo User 003,DZ0000016,2026-03-19T00:34:20+06:00,Demo Seller 09,Sports,1,Banani,23.787722,90.411216,24262,card,delivered,2026-03-23T04:34:20+06:00,True
USR003,01000000003,Demo User 003,DZ0000025,2026-03-19T06:29:38+06:00,Demo Seller 04,Electronics,1,Motijheel,23.731287,90.420433,10859,mobile_wallet,delivered,2026-03-22T19:29:38+06:00,True
USR003,01000000003,Demo User 003,DZ0000022,2026-03-24T18:41:33+06:00,Demo Seller 08,Home & Living,2,Dhanmondi,23.748329,90.37734,3976,cash,delivered,2026-03-30T13:41:33+06:00,True
USR003,01000000003,Demo User 003,DZ0000018,2026-04-09T01:26:35+06:00,Demo Seller 06,Fashion,1,Mohakhali,23.779218,90.395003,18798,mobile_wallet,delivered,2026-04-10T06:26:35+06:00,True
USR003,01000000003,Demo User 003,DZ0000020,2026-04-21T02:10:47+06:00,Demo Seller 02,Beauty,4,Shyamoli,23.781291,90.358892,1139,cash,delivered,2026-04-30T07:10:47+06:00,True
USR003,01000000003,Demo User 003,DZ0000024,2026-05-06T00:47:52+06:00,Demo Seller 05,Home & Living,3,Badda,23.78471,90.420911,5730,mobile_wallet,delivered,2026-05-07T00:47:52+06:00,True
USR003,01000000003,Demo User 003,DZ0000021,2026-05-23T14:52:46+06:00,Demo Seller 06,Home & Living,4,Shyamoli,23.768845,90.359373,8276,cash,delivered,2026-05-29T18:52:46+06:00,True
USR003,01000000003,Demo User 003,DZ0000017,2026-06-20T11:05:39+06:00,Demo Seller 10,Sports,2,Uttara,23.877759,90.373032,15585,card,delivered,2026-06-20T19:05:39+06:00,True
USR004,01000000004,Demo User 004,DZ0000034,2026-03-02T15:13:58+06:00,Demo Seller 15,Beauty,3,Motijheel,23.730451,90.419734,21184,card,returned,2026-03-09T04:13:58+06:00,True
USR004,01000000004,Demo User 004,DZ0000028,2026-03-27T12:41:19+06:00,Demo Seller 09,Accessories,4,Bashundhara,23.810142,90.417718,13915,card,delivered,2026-04-04T19:41:19+06:00,True
USR004,01000000004,Demo User 004,DZ0000029,2026-04-16T23:23:17+06:00,Demo Seller 05,Electronics,2,Mohakhali,23.787189,90.405271,3111,cash,delivered,2026-04-19T21:23:17+06:00,True
USR004,01000000004,Demo User 004,DZ0000036,2026-05-23T14:27:26+06:00,Demo Seller 08,Books,3,Pallabi,23.824678,90.360449,10138,mobile_wallet,delivered,2026-05-28T15:27:26+06:00,True
USR004,01000000004,Demo User 004,DZ0000035,2026-06-02T09:08:07+06:00,Demo Seller 10,Electronics,2,Banani,23.791284,90.411821,4497,mobile_wallet,delivered,2026-06-07T09:08:07+06:00,True
USR004,01000000004,Demo User 004,DZ0000030,2026-06-06T08:06:53+06:00,Demo Seller 08,Sports,1,Bashundhara,23.815718,90.421811,3858,mobile_wallet,delivered,2026-06-11T21:06:53+06:00,True
USR004,01000000004,Demo User 004,DZ0000027,2026-06-13T09:45:01+06:00,Demo Seller 09,Fashion,1,Rampura,23.764313,90.428653,23780,cash,delivered,2026-06-19T23:45:01+06:00,True
USR004,01000000004,Demo User 004,DZ0000033,2026-06-17T22:14:12+06:00,Demo Seller 09,Books,3,Tejgaon,23.765617,90.401389,23905,mobile_wallet,delivered,2026-06-19T03:14:12+06:00,True
USR004,01000000004,Demo User 004,DZ0000038,2026-06-18T03:39:32+06:00,Demo Seller 04,Home & Living,2,Mohammadpur,23.761893,90.363216,22668,card,delivered,2026-06-22T07:39:32+06:00,True
USR004,01000000004,Demo User 004,DZ0000031,2026-06-30T05:55:59+06:00,Demo Seller 15,Books,2,Mirpur,23.818549,90.368533,18181,mobile_wallet,delivered,2026-06-30T20:55:59+06:00,True
USR004,01000000004,Demo User 004,DZ0000032,2026-07-07T17:40:28+06:00,Demo Seller 04,Books,2,Banani,23.793077,90.413943,4421,card,delivered,2026-07-16T12:40:28+06:00,True
USR004,01000000004,Demo User 004,DZ0000037,2026-07-24T23:46:52+06:00,Demo Seller 07,Home & Living,1,Mohakhali,23.784971,90.400476,15788,mobile_wallet,shipped,2026-08-02T03:46:52+06:00,True
USR005,01000000005,Demo User 005,DZ0000042,2026-03-01T10:24:50+06:00,Demo Seller 11,Fashion,2,Wari,23.710963,90.420266,12137,card,delivered,2026-03-06T06:24:50+06:00,True
USR005,01000000005,Demo User 005,DZ0000040,2026-03-04T16:05:31+06:00,Demo Seller 05,Accessories,2,Shyamoli,23.772264,90.36932,19054,card,delivered,2026-03-08T13:05:31+06:00,True
USR005,01000000005,Demo User 005,DZ0000039,2026-03-10T07:56:08+06:00,Demo Seller 15,Groceries,2,Khilgaon,23.747646,90.432022,9809,mobile_wallet,shipped,2026-03-12T07:56:08+06:00,True
USR005,01000000005,Demo User 005,DZ0000041,2026-03-23T22:45:27+06:00,Demo Seller 06,Beauty,1,Shyamoli,23.768526,90.35858,3836,mobile_wallet,cancelled,2026-03-28T13:45:27+06:00,True
USR005,01000000005,Demo User 005,DZ0000046,2026-04-10T00:47:52+06:00,Demo Seller 15,Electronics,4,Farmgate,23.765383,90.383288,13748,cash,delivered,2026-04-16T00:47:52+06:00,True
USR005,01000000005,Demo User 005,DZ0000043,2026-04-19T14:40:25+06:00,Demo Seller 13,Groceries,3,Pallabi,23.830192,90.357208,15347,mobile_wallet,delivered,2026-04-19T18:40:25+06:00,True
USR005,01000000005,Demo User 005,DZ0000044,2026-05-08T04:35:02+06:00,Demo Seller 09,Accessories,3,Farmgate,23.754664,90.390792,12043,card,delivered,2026-05-10T08:35:02+06:00,True
USR005,01000000005,Demo User 005,DZ0000045,2026-07-16T01:23:57+06:00,Demo Seller 01,Sports,4,Badda,23.786104,90.431613,14208,card,cancelled,2026-07-22T22:23:57+06:00,True
USR006,01000000006,Demo User 006,DZ0000049,2026-03-11T03:48:35+06:00,Demo Seller 13,Beauty,4,Uttara,23.879515,90.385777,13951,mobile_wallet,delivered,2026-03-12T07:48:35+06:00,True
USR006,01000000006,Demo User 006,DZ0000048,2026-04-16T16:51:07+06:00,Demo Seller 15,Groceries,3,Gulshan,23.785561,90.400344,18811,mobile_wallet,delivered,2026-04-19T21:51:07+06:00,True
USR006,01000000006,Demo User 006,DZ0000051,2026-05-09T04:50:14+06:00,Demo Seller 11,Fashion,2,Shyamoli,23.770943,90.367364,4254,mobile_wallet,delivered,2026-05-15T00:50:14+06:00,True
USR006,01000000006,Demo User 006,DZ0000047,2026-05-21T20:47:05+06:00,Demo Seller 08,Beauty,3,Gulshan,23.793465,90.405033,2976,mobile_wallet,delivered,2026-05-28T05:47:05+06:00,True
USR006,01000000006,Demo User 006,DZ0000050,2026-06-11T01:51:16+06:00,Demo Seller 03,Groceries,2,Shyamoli,23.778433,90.372128,14709,cash,delivered,2026-06-19T13:51:16+06:00,True
USR006,01000000006,Demo User 006,DZ0000052,2026-07-17T20:46:41+06:00,Demo Seller 10,Accessories,2,Tejgaon,23.764318,90.391378,19475,cash,processing,2026-07-21T10:46:41+06:00,True
USR007,01000000007,Demo User 007,DZ0000053,2026-03-06T17:53:58+06:00,Demo Seller 12,Fashion,3,Uttara,23.869048,90.372773,10001,card,delivered,2026-03-08T02:53:58+06:00,True
USR007,01000000007,Demo User 007,DZ0000056,2026-03-19T01:57:16+06:00,Demo Seller 07,Accessories,4,Old Dhaka,23.708357,90.402942,651,mobile_wallet,returned,2026-03-22T06:57:16+06:00,True
USR007,01000000007,Demo User 007,DZ0000054,2026-03-28T13:17:28+06:00,Demo Seller 14,Beauty,3,Old Dhaka,23.717089,90.406685,2729,cash,delivered,2026-04-02T07:17:28+06:00,True
